code,circular,line,direction,destiny,origin
35210,true,N843,2,PQ. ARARIBA,TERM. CAPELINHA
2442,true,N843,1,PQ. ARARIBA,TERM. CAPELINHA
2486,false,1012,1,TERM JD BRITÂNIA,JD MONTE BELO
35254,false,1012,2,TERM JD BRITÂNIA,JD MONTE BELO
34998,true,1015,2,CHÁCARA MARIA TRINDADE,TERM JD. BRITÂNIA
2230,true,1015,1,CHÁCARA MARIA TRINDADE,TERM JD. BRITÂNIA
33599,false,1016,2,CENTER NORTE,CEMITERIO DO HORTO
831,false,1016,1,CENTER NORTE,CEMITERIO DO HORTO
2141,false,1017,1,CONEXÃO VILA IORIO,PERUS
34909,false,1017,2,CONEXÃO VILA IORIO,PERUS
832,false,1018,1,METRÔ SANTANA,VILA ROSA
33600,false,1018,2,METRÔ SANTANA,VILA ROSA
33601,false,1021,2,TERMINAL PIRITUBA,COHAB BRASILÂNDIA
833,false,1021,1,TERMINAL PIRITUBA,COHAB BRASILÂNDIA
35070,false,1024,2,CONEXÃO PETRÔNIO PORTELA,JD. CAROMBE
2302,false,1024,1,CONEXÃO PETRÔNIO PORTELA,JD. CAROMBE
2303,false,1025,1,CONEXÃO PETRÔNIO PORTELA,JD. CAROMBE
35071,false,1025,2,CONEXÃO PETRÔNIO PORTELA,JD. CAROMBE
2306,false,1026,1,CONEXÃO PETRÔNIO PORTELA,VILA IARA
35074,false,1026,2,CONEXÃO PETRÔNIO PORTELA,VILA IARA
2452,false,1034,1,CONEXÃO VILA IÓRIO,VILA IARA
35220,false,1034,2,CONEXÃO VILA IÓRIO,VILA IARA
2453,false,1036,1,CONEXÃO VILA IÓRIO,COHAB BRASILÂNDIA
35221,false,1036,2,CONEXÃO VILA IÓRIO,COHAB BRASILÂNDIA
33284,false,106A,2,ITAIM BIBI,METRÔ SANTANA
516,false,106A,1,ITAIM BIBI,METRÔ SANTANA
621,false,107T,1,TERMINAL PINHEIROS,METRÔ TUCURUVI
33389,false,107T,2,TERMINAL PINHEIROS,METRÔ TUCURUVI
33390,false,107T,2,TERMINAL PINHEIROS ,METRÔ TUCURUVI
622,false,107T,1,TERMINAL PINHEIROS ,METRÔ TUCURUVI
33427,false,1156,2,PCA. DO CORREIO,VILA SABRINA
659,false,1156,1,PCA. DO CORREIO,VILA SABRINA
34898,false,1156,2,PRAÇA DO CORREIO,VILA SABRINA
2130,false,1156,1,PRAÇA DO CORREIO,VILA SABRINA
32897,false,1177,2,ESTAÇÃO DA LUZ,TERM. A.E. CARVALHO
129,false,1177,1,ESTAÇÃO DA LUZ,TERM. A.E. CARVALHO
1831,false,1177,1,ESTAÇÃO DA LUZ,TERM. A. E. CARVALHO
34599,false,1177,2,ESTAÇÃO DA LUZ,TERM. A. E. CARVALHO
32898,false,1177,2,TERM. PQ.D. PEDRO II,ENGENHEIRO GOULART
