ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ENDERECO,BAIRRO,CEP,ES_TIPO,ES_DEPADM
1,-46714045,-23654530,355030871000083,3550308005174,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,DUED 103 CEE JOERG BRUDER,"AVENIDA PADRE JOSÉ MARIA, 555",SANTO AMARO,04753-060,1,1
2,-46740291,-23484650,355030863000065,3550308005113,64,PIRITUBA,2,PIRITUBA,Norte,Norte 1,DUED 105 CEE GERALDO JOSÉ DE ALMEIDA,"AVENIDA  AGENOR COUTO MAGALHÃES, 32",PIRITUBA,05174-000,1,1
3,-46722499,-23574458,355030812000027,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,DUED 117 CEE SOLANGE NUNES BIBAS,"RUA  ERNANI DA GAMA CORREA, 367",BUTANTÃ-INOCOOP,05539-000,1,1
4,-46719666,-23527226,355030888000035,3550308005107,90,VILA LEOPOLDINA,8,LAPA,Oeste,Oeste,DUED 108 CEE EDSON ARANTES DO NASCIMENTO,"RUA  BELMONT, 957",ALTO DA LAPA,05088-050,1,1
5,-46696979,-23475449,355030829000116,3550308005119,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,DUED 119 CEE OSWALDO BRANDÃO,"RUA  MICHIHISA MURATA, 120",VILA BRASILÂNDIA,02806-160,1,1
6,-46693023,-23483181,355030829000031,3550308005118,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,DUED 114 CEE AURÉLO DE CAMPOS,"RUA  JACUTIBA, 167",FREGUESIA DO Ó,02832-240,1,1
7,-46637733,-23640136,355030838000194,3550308005093,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,DUED 111 CEE RIYUSO OGAWA,"RUA  LUSSANVIRA, 178",VILA GUARANI,04316-000,1,1
8,-46653046,-23597296,355030832000003,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,DUED 102 CEE MANÉ GARRINCHA,"RUA  PEDRO DE TOLEDO, 1591",VILA CLEMENTINO,04039-034,1,1
9,-46622069,-23570048,355030814000020,3550308005006,14,CAMBUCI,9,SE,Centro,Centro,DUED 115 CEE RUBENS PACCE LORDELLO,"AVENIDA  LINS DE VASCONCELOS, 804",CAMBUCI,01535-000,1,1
10,-46596572,-23587636,355030834000051,3550308005019,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,DUED 121 CEE FLAVIO CALABRESI CONTE,"RUA DAS MUNICIPALIDADES, 10",VILA INDEPENDÊNCIA,04212-040,1,1
11,-46597286,-23550420,355030853000057,3550308005017,54,MOOCA,25,MOOCA,Leste,Leste 1,DUED 101 CEE SALIM FARH MALUF,"RUA  TAQUARI, 635",MOÓCA,03166-000,1,1
12,-46652532,-23523071,355030869000042,3550308005027,70,SANTA CECILIA,9,SE,Centro,Centro,DUED 112 CEE RAUL TABAJARA,"RUA  ANHANGUERA, 484",BARRA FUNDA,01135-000,1,1
13,-46612575,-23494430,355030870000220,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,DUED 109 CEE ALFREDO IGNÁCIO TRINDADE,"RUA  VIRI, 425",JARDIM SÃO PAULO,02046-030,1,1
14,-46568024,-23583041,355030893000019,3550308005042,95,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,DUED 107 CEE ARTHUR FRIEDENREICH,"AVENIDA  FRANCISCO FALCONI,83",VILA ALPINA,03227-000,1,1
15,-46562156,-23539721,355030880000002,3550308005037,82,TATUAPE,25,MOOCA,Leste,Leste 1,DUED 113 CEE BRIGADEIRO EDUARDO GOMES,"RUA  MONTE SERRAT, 230",TATUAPÉ,03312-000,1,1
16,-46532674,-23548125,355030820000011,3550308005078,20,CARRAO,26,ARICANDUVA,Leste,Leste 1,DUED 106 CEE VICENTE ÍTALO FEOLA,PRAÇA  HAROLDO DALTRO,VILA MANCHESTER,03444-090,1,1
17,-46579805,-23500996,355030889000074,3550308005033,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,DUED 104 CEE THOMAZ MAZZONI,"PRAÇA  JÂNIO DA SILVA QUADROS, 150",VILA MARIA,02132-000,1,1
18,-46549037,-23514391,355030859000141,3550308005071,60,PENHA,21,PENHA,Leste,Leste 1,DUED 120 CEE LUIZ MARTINEZ,"AVENIDA GOVERNADOR CARVALHO PINTO, 2",TIQUATIRA,03601-000,1,1
19,-46479107,-23576101,355030857000078,3550308005205,58,PARQUE DO CARMO,27,ITAQUERA,Leste,Leste 2,DUED 110 CEE RUMI DE RANIERI,"AVENIDA  AFONSO DE SAMPAIO E SOUZA, 2001",ITAQUERA,08270-000,1,1
20,-46427562,-23546763,355030847000027,3550308005262,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,DUED 118 CEE GERDY GOMES,"RUA PROFESSORA LUCILA CERQUEIRA, 194",GUAIANAZES,08420-690,1,1
21,-46417971,-23497243,355030884000063,3550308005248,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,DUED 116 CEE JOSÉ ERMÍRIO DE MORAES,"RUA  GRAPIRA, 537",SÃO MIGUEL PAULISTA,08030-190,1,1
22,-46714665,-23446528,355030842000143,3550308005188,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,CEL TAIP CEL BRIGADEIRO EDUARDO GOMES,"RUA  JOÃO AMADO COUTINHO, 240",PARADA DE TAIPAS,,2,1
23,-46501924,-23605137,355030876000104,3550308005157,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,CEL TV CEL TEOTÔNIO VILELA,"RUA  CARLOS CLAUSETTI, 19",SAPOPEMBA,,2,1
24,-46399898,-23599771,355030825000217,3550308005272,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CEL AV CEL ANDRÉ VITAL RIBEIRO SOARES,"AVENIDA DOS METALÚRGICOS, 2255",GUAIANASES,08471-000,2,1
25,-46485009,-23551892,355030805000132,3550308005148,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,CEL JA CEL JOSÉ DE ANCHIETA,"RUA  JOSÉ BALANGIO,188",PENHA,03589-150,2,1
26,-46436103,-23547319,355030847000020,3550308005261,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,CEL JB CEL JOSÉ BONIFÁCIO,"RUA  ANA PERENA, 110",ITAQUERA,08253-230,2,1
27,-46414974,-23563981,355030825000239,3550308005268,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CEL JK CEL JUSCELINO KUBITSCHEK,"RUA  INÁCIO MONTEIRO,55",GUAIANAZES,,2,1
28,-46753832,-23597305,355030894000034,3550308005181,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,DUED 136 BALNEÁRIO MÁRIO DE MORAES,"RUA  EDWARD CARMILO, 840",JARDIM CELESTE,05528-001,3,1
29,-46667199,-23641747,355030815000122,3550308005100,15,CAMPO BELO,14,SANTO AMARO,Sul,Sul 2,DUED 132 BALNEÁRIO JALISCO,"RUA  RODES, 112",VILA SANTA CATARINA,04362-000,3,1
30,-46594753,-23595010,355030834000078,3550308005084,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,DUED 133 BALNEÁRIO PRINCESA ISABEL,"RUA  CAMPANTE, 100",VILA CARIOCA,04224-010,3,1
31,-46605453,-23579869,355030834000024,3550308005019,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,DUED 131 BALNEÁRIO CARLOS JOEL NELLI,"PRAÇA  NAMI JAFET, 45",IPIRANGA,04205-050,3,1
32,-46629045,-23516036,355030870000058,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,DUED 135 BALNEÁRIO GERALDO ALONSO,"AVENIDA  SANTOS DUMONT, 1.318",SANTANA,02012-010,3,1
33,-46753841,-23619785,355030817000271,3550308005234,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,DUED 171 MINI BALNEÁRIO MINISTRO SINÉSIO ROCHA,"RUA  CIBAÚMA, 54",CAMPO LIMPO,05754-030,4,1
34,-46682666,-23685536,355030816000052,3550308005171,16,CAMPO GRANDE,14,SANTO AMARO,Sul,Sul 2,DUED 172 MINI BALNEÁRIO ABREU SODRÉ,"RUA  CURIA, 249",JARDIM SABARÁ,04446-180,4,1
35,-46752486,-23553319,355030841000103,3550308005108,40,JAGUARE,8,LAPA,Oeste,Oeste,DUED 177 MINI BALNEÁRIO MARECHAL ESPIRIDIÃO ROSAS,"RUA GENERAL MAC ARTHUR, 1.304",JAGUARÉ,05338-000,4,1
36,-46464141,-23610388,355030873000142,3550308005208,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,DUED 174 MINI BALNEÁRIO JOSÉ MARIA WHITAKER,"AVENIDA  SATÉLITE, 756",SÃO MATEUS,08330-480,4,1
37,-46654763,-23491793,355030821000026,3550308005062,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,DUED 178 MINI BALNEÁRIO COMANDANTE GARCIA D´AVILA,"RUA  ARMANDO COELHO E SILVA, 775",PARQUE PERUCHE,02539-000,4,1
38,-46639496,-23468823,355030851000018,3550308005130,51,MANDAQUI,5,SANTANA-TUCURUVI,Norte,Norte 2,DUED 176 MINI BALNEÁRIO COMANDANTE GASTÃO MOUTINHO,"REVOLUÇÃO CORONEL JOÃO DA SILVA FEIJÓ, 80",MANDAQUI,02422-200,4,1
39,-46569019,-23464103,355030839000024,3550308005136,38,JACANA,6,JACANA-TREMEMBE,Norte,Norte 2,DUED 175 MINI BALNEÁRIO IRMÃOS PAOLLILO,"RUA GENERAL JERÔNIMO FURTADO, 751",JAÇANÃ,02238-000,4,1
40,-46428916,-23499924,355030874000071,3550308005197,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,DUED 173 MINI BALNEÁRIO ALMIRANTE PEDRO DE FRONTIN,"RUA SARGENTO LUIZ BAPTISTA,83",SÃO MIGUEL,08030-000,4,1
41,-46656295,-23597669,355030832000003,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,DUED 2 COTP CENTRO OLÍMPICO DE TREINAMENTO E PESQUISA,"AVENIDA  IBIRAPUERA, 1315",VILA CLEMENTINO,04029-000,5,1
42,-46656779,-23580773,355030832000036,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,MODELÓDROMO DO IBIRAPUERA,"RUA  CURITIBA, 290, 292",PARAISO,04005-030,6,1
43,-46629149,-23513992,355030870000060,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,MODELÓDROMO AEROMODELISMO DE SANTANA,PRAÇA  CAMPO DE BAGATELLE,SANTANA,02012-000,6,1
44,-46700881,-23701344,355030823000137,3550308005217,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,SEME 4 AUTÓDROMO JOSÉ CARLOS PACCE,"AVENIDA SENADOR TEOTÔNIO VILELA, 261",INTERLAGOS,04801-010,7,1
45,-46665045,-23545979,355030826000007,3550308005013,26,CONSOLACAO,9,SE,Centro,Centro,SEME 3 ESTÁDIO PAULO MACHADO DE CARVALHO,PRAÇA  CHARLES MULLER,PACAEMBU,01234-010,8,1
46,-46628607,-23571915,355030849000008,3550308005007,49,LIBERDADE,9,SE,Centro,Centro,DEPEL120 ESTÁDIO JACK MARIN,"RUA  MUNIZ DE SOUZA, 1119",ACLIMAÇÃO,01534-000,8,1
47,-46643010,-23519279,355030809000036,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,DEPEL110 ESTÁDIO BASE BALL MIE NISHI  -,"AVENIDA PRESIDENTE CASTELO BRANCO, 5446",BOM RETIRO,01142-010,8,1
48,-46719578,-23597938,355030854000042,3550308005104,55,MORUMBI,10,BUTANTA,Oeste,Oeste,S PAULO FUTEBOL CLUBE(MORUMBI)-ESTADIO,ROBERTO GOMES PEDROSA PCA S/N,,05653-070,8,4
